,Missing,Percent
receiving_drop_pct,5284,100.0
def_times_blitzed,5284,100.0
def_times_hurried,5284,100.0
def_times_hitqb,5284,100.0
receiving_drop,5284,100.0
10+ yds,4162,78.77
g,4162,78.77
comp,4162,78.77
att,4162,78.77
pct,4162,78.77
yds,4162,78.77
air,4162,78.77
hrry,4162,78.77
30+ yds,4162,78.77
40+ yds,4162,78.77
sack,4162,78.77
knck,4162,78.77
blitz,4162,78.77
poor,4162,78.77
drop,4162,78.77
rz att,4162,78.77
rtg,4162,78.77
20+ yds,4162,78.77
50+ yds,4162,78.77
fpts_7wk_delta,3356,63.51
fpts_7wk_avg,3250,61.51
comp_7wk_delta,3138,59.39
ints_7wk_avg,3138,59.39
comp_7wk_avg,3138,59.39
att_7wk_delta,3138,59.39
pass_yds_7wk_avg,3138,59.39
pass_tds_7wk_avg,3138,59.39
pass_yds_7wk_delta,3138,59.39
att_7wk_avg,3138,59.39
ints_7wk_delta,3138,59.39
pass_tds_7wk_delta,3138,59.39
fpts_5wk_delta,2710,51.29
result,2612,49.43
score,2612,49.43
fpts_5wk_avg,2597,49.15
ints_5wk_delta,2477,46.88
pass_tds_5wk_avg,2477,46.88
pass_yds_5wk_avg,2477,46.88
att_5wk_avg,2477,46.88
ints_5wk_avg,2477,46.88
att_5wk_delta,2477,46.88
comp_5wk_avg,2477,46.88
comp_5wk_delta,2477,46.88
pass_yds_5wk_delta,2477,46.88
pass_tds_5wk_delta,2477,46.88
fpts_3wk_delta,1896,35.88
fpts_3wk_avg,1777,33.63
comp_3wk_avg,1650,31.23
ints_3wk_delta,1650,31.23
pass_yds_3wk_avg,1650,31.23
pass_tds_3wk_avg,1650,31.23
att_3wk_avg,1650,31.23
att_3wk_delta,1650,31.23
comp_3wk_delta,1650,31.23
pass_yds_3wk_delta,1650,31.23
pass_tds_3wk_delta,1650,31.23
ints_3wk_avg,1650,31.23
sacks_rz,962,18.21
int_rz,962,18.21
y/a_rz,962,18.21
comp_rz,962,18.21
passing_drops,948,17.94
passing_drop_pct,948,17.94
passing_bad_throws,948,17.94
passing_bad_throw_pct,948,17.94
times_sacked,948,17.94
times_blitzed,948,17.94
times_hurried,948,17.94
times_hit,948,17.94
times_pressured,948,17.94
times_pressured_pct,948,17.94
avg_air_distance,864,16.35
completion_percentage_above_expectation,864,16.35
expected_completion_percentage,864,16.35
max_air_distance,864,16.35
max_completed_air_distance,864,16.35
avg_air_yards_to_sticks,863,16.33
aggressiveness,863,16.33
avg_time_to_throw,863,16.33
avg_completed_air_yards,863,16.33
avg_air_yards_differential,863,16.33
avg_intended_air_yards,863,16.33
completion_percentage,863,16.33
passer_rating,863,16.33
pass_touchdowns,863,16.33
pass_yards,863,16.33
fpts_lag_1,756,14.31
pass_tds_lag_1,623,11.79
pass_yds_lag_1,623,11.79
ints_lag_1,623,11.79
comp_lag_1,623,11.79
att_lag_1,623,11.79
dakota,573,10.84
dk_salary,325,6.15
fd_salary,325,6.15
fpts,264,5.0
rost,264,5.0
pacr,253,4.79
passing_epa,230,4.35
O_U,50,0.95
spread,10,0.19
